batch_size,benchmark_name,gpu_architecture,gpu_backend,gpu_compute_capability,gpu_device_index,gpu_driver_version,gpu_name,gpu_total_memory_gb,latency_ms,latency_std_ms,notes,peak_vram_gb,peak_vram_reduction_gb,repeat_iterations,seq_len,status,tflops,timestamp,tokens_per_sec,total_tokens,vocab_size,warmup_iterations
8,logp_native,Ampere,cuda,8.0,0,13.0,NVIDIA A100 80GB PCIe,79.32,0.08908800035715103,0.2586127498136486,,0.0390777587890625,,10,128,pass,0.23540229790685419,2026-09-21T08:34:57.180927+00:00,11494252.827483114,1024,4096,3
8,logp_fused,Ampere,cuda,8.0,0,13.0,NVIDIA A100 80GB PCIe,79.32,0.0363520011305809,0.011217877590454658,,0.015651702880859375,0.03125,10,128,pass,0.5769013905085362,2026-09-21T08:34:57.330123+00:00,28169013.208424617,1024,4096,3
16,logp_native,Ampere,cuda,8.0,0,13.0,NVIDIA A100 80GB PCIe,79.32,0.16998399794101715,0.5545228219980209,,0.078155517578125,,10,128,pass,0.2467469909406051,2026-09-21T08:34:57.335510+00:00,12048192.917021735,2048,4096,3
16,logp_fused,Ampere,cuda,8.0,0,13.0,NVIDIA A100 80GB PCIe,79.32,0.04505600035190582,0.005270256876810647,,0.03130340576171875,0.0625,10,128,pass,0.9309090836383094,2026-09-21T08:34:57.339968+00:00,45454545.09952683,2048,4096,3
