N,H,V,dtype,impl,latency_ms,tokens_per_s,peak_act_mb,materializes_NV_logits,max_abs_err,mean_abs_err,has_nan,has_inf
128,4096,128256,bf16,native_pytorch,0.988,129560.5,157.25,True,0.007685661315917969,0.0010291561484336853,False,False
128,4096,128256,bf16,triton_sm80,61.5762,2078.7,0.001,False,1.71661376953125e-05,5.9604644775390625e-06,False,False
128,4096,128256,bf16,sm80_poc,21.0117,6091.9,0.013,False,1.71661376953125e-05,5.826354026794434e-06,False,False
1024,4096,128256,bf16,native_pytorch,6.0617,168930.3,1254.5,True,0.007767677307128906,0.0011456329375505447,False,False
1024,4096,128256,bf16,triton_sm80,61.5399,16639.6,0.012,False,2.574920654296875e-05,5.7229772210121155e-06,False,False
1024,4096,128256,bf16,sm80_poc,43.8108,23373.2,0.102,False,2.574920654296875e-05,5.686655640602112e-06,False,False
4096,4096,128256,bf16,native_pytorch,25.2479,162231.0,5010.0,True,0.0077457427978515625,0.0011722797062247992,False,False
4096,4096,128256,bf16,triton_sm80,83.7306,48918.8,0.047,False,2.765655517578125e-05,5.897367373108864e-06,False,False
4096,4096,128256,bf16,sm80_poc,147.915,27691.6,0.406,False,2.765655517578125e-05,5.819136276841164e-06,False,False
